cntry,cname,cedition,cproddat,cseqno,name,essround,edition,idno,dweight,pspwght,pweight,prtvtgb,gndr,agea,eduyrs,inwtm
GB,ESS1-6e01,1,26.11.2014,136354,ESS6e02_1,6,2.1,319129,1.5158433067,1.4596784799,2.282115223,2,2,24,18,33
GB,ESS1-6e01,1,26.11.2014,136355,ESS6e02_1,6,2.1,319145,0.5052811124,0.6830311579,2.282115223,2,1,29,17,40
GB,ESS1-6e01,1,26.11.2014,136356,ESS6e02_1,6,2.1,319152,0.5052811124,0.4088020846,2.282115223,66,2,35,18,38
GB,ESS1-6e01,1,26.11.2014,136357,ESS6e02_1,6,2.1,319160,1.0105622247,0.81760417,2.282115223,2,2,39,13,40
GB,ESS1-6e01,1,26.11.2014,136358,ESS6e02_1,6,2.1,319186,1.0105622247,0.81760417,2.282115223,66,2,46,11,43
GB,ESS1-6e01,1,26.11.2014,136359,ESS6e02_1,6,2.1,319194,0.5052811124,0.5674149393,2.282115223,4,1,45,13,30
GB,ESS1-6e01,1,26.11.2014,136360,ESS6e02_1,6,2.1,319202,0.5052811124,0.4088020846,2.282115223,4,2,50,17,34
GB,ESS1-6e01,1,26.11.2014,136361,ESS6e02_1,6,2.1,320028,1.0105622954,0.8176042266,2.282115223,66,2,41,16,49
GB,ESS1-6e01,1,26.11.2014,136362,ESS6e02_1,6,2.1,320044,0.5052811477,0.4865595373,2.282115223,66,2,26,12,32
GB,ESS1-6e01,1,26.11.2014,136363,ESS6e02_1,6,2.1,320069,1.0105622954,0.9731190736,2.282115223,66,2,32,13,61
GB,ESS1-6e01,1,26.11.2014,136364,ESS6e02_1,6,2.1,320077,1.0105622954,0.9963034499,2.282115223,66,1,64,11,46
GB,ESS1-6e01,1,26.11.2014,136365,ESS6e02_1,6,2.1,320085,3.0316868257,4.0081214574,2.282115223,66,1,18,13,53
GB,ESS1-6e01,1,26.11.2014,136366,ESS6e02_1,6,2.1,320093,1.0105622954,0.8176042266,2.282115223,66,2,44,10,33
GB,ESS1-6e01,1,26.11.2014,136367,ESS6e02_1,6,2.1,320119,0.5052811477,0.4981517254,2.282115223,2,1,82,9,57
GB,ESS1-6e01,1,26.11.2014,136368,ESS6e02_1,6,2.1,320127,0.5052811477,0.4917370923,2.282115223,66,2,85,9,53
GB,ESS1-6e01,1,26.11.2014,136369,ESS6e02_1,6,2.1,320143,0.5052811477,0.4865595373,2.282115223,66,2,27,11,30
GB,ESS1-6e01,1,26.11.2014,136370,ESS6e02_1,6,2.1,320184,1.0105622954,0.8176042266,2.282115223,2,2,36,12,41
GB,ESS1-6e01,1,26.11.2014,136371,ESS6e02_1,6,2.1,320192,0.5052811477,0.5674149797,2.282115223,66,1,54,13,39
GB,ESS1-6e01,1,26.11.2014,136372,ESS6e02_1,6,2.1,321018,1.5158430363,1.0485195215,2.282115223,66,2,22,14,22
GB,ESS1-6e01,1,26.11.2014,136373,ESS6e02_1,6,2.1,321034,0.5052810222,0.3532256667,2.282115223,66,2,56,14,26
GB,ESS1-6e01,1,26.11.2014,136374,ESS6e02_1,6,2.1,321059,1.0105620444,0.6990130281,2.282115223,88,2,31,14,26
GB,ESS1-6e01,1,26.11.2014,136375,ESS6e02_1,6,2.1,321067,1.5158430363,1.2227602942,2.282115223,88,1,48,12,26
GB,ESS1-6e01,1,26.11.2014,136376,ESS6e02_1,6,2.1,321109,0.5052810222,0.3578334401,2.282115223,66,1,67,12,51
GB,ESS1-6e01,1,26.11.2014,136377,ESS6e02_1,6,2.1,321117,1.0105620444,0.9812729491,2.282115223,66,1,33,12,32
GB,ESS1-6e01,1,26.11.2014,136378,ESS6e02_1,6,2.1,321125,1.0105620444,0.7064513335,2.282115223,88,2,62,11,52
GB,ESS1-6e01,1,26.11.2014,136379,ESS6e02_1,6,2.1,321141,1.0105620444,0.7156668802,2.282115223,14,1,64,17,38
GB,ESS1-6e01,1,26.11.2014,136380,ESS6e02_1,6,2.1,321158,1.0105620444,0.8151735456,2.282115223,11,1,41,12,45
GB,ESS1-6e01,1,26.11.2014,136381,ESS6e02_1,6,2.1,321174,1.0105620444,0.6990130281,2.282115223,66,2,31,16,33
GB,ESS1-6e01,1,26.11.2014,136382,ESS6e02_1,6,2.1,321208,1.0105620444,0.587303262,2.282115223,15,2,37,21,36
GB,ESS1-6e01,1,26.11.2014,136383,ESS6e02_1,6,2.1,322016,1.0105620811,0.981272985,2.282115223,66,1,33,12,24
GB,ESS1-6e01,1,26.11.2014,136384,ESS6e02_1,6,2.1,322032,1.0105620811,0.6990130537,2.282115223,66,2,22,17,33
GB,ESS1-6e01,1,26.11.2014,136385,ESS6e02_1,6,2.1,322040,0.5052810406,0.35322568,2.282115223,11,2,88,10,26
GB,ESS1-6e01,1,26.11.2014,136386,ESS6e02_1,6,2.1,322057,1.0105620811,0.5873032835,2.282115223,66,2,45,19,42
GB,ESS1-6e01,1,26.11.2014,136387,ESS6e02_1,6,2.1,322073,1.0105620811,0.7064513593,2.282115223,11,2,68,18,39
GB,ESS1-6e01,1,26.11.2014,136388,ESS6e02_1,6,2.1,322081,1.0105620811,0.8151735755,2.282115223,12,1,42,19,41
GB,ESS1-6e01,1,26.11.2014,136389,ESS6e02_1,6,2.1,322107,0.5052810406,0.2936516421,2.282115223,22,2,36,13,39
GB,ESS1-6e01,1,26.11.2014,136390,ESS6e02_1,6,2.1,322115,0.5052810406,0.3578334536,2.282115223,22,1,77,12,35
GB,ESS1-6e01,1,26.11.2014,136391,ESS6e02_1,6,2.1,322123,0.5052810406,0.3578334536,2.282115223,66,1,58,12,42
GB,ESS1-6e01,1,26.11.2014,136392,ESS6e02_1,6,2.1,322131,0.5052810406,0.2936516421,2.282115223,88,2,48,23,40
GB,ESS1-6e01,1,26.11.2014,136393,ESS6e02_1,6,2.1,322149,1.0105620811,0.981272985,2.282115223,66,1,31,20,33
